	CXD_0801_FDSW210423161-1r	CXD_0802_FDSW210423162-1r	CXD_0803_FDSW210423163-1r	CXD_0804_FDSW210423164-1r	CXD_0805_FDSW210423165-1r	CXD_0807_FDSW210423167-1r	CXD_1001_FDSW210423173-1r	CXD_1003_FDSW210423175-1r	CXD_1004_FDSW210423176-1r	CXD_1007_FDSW210423179-1r	CXD_1009_FDSW210423181-1r	CXD_1015_FDSW210423187-1r	CXD_1201_FDSW210423188-1r	CXD_1202_FDSW210423189-1r	CXD_1203_FDSW210423190-1r	CXD_1213_FDSW210423200-1r	CXD_1214_FDSW210423201-1r	CXD_1215_FDSW210423202-1r	CXD_0204_FDSW210423206-1r	CXD_0209_FDSW210423211-1r	CXD_0210_FDSW210423212-1r	CXD_0213_FDSW210423215-1r	CXD_0214_FDSW210423216-1r	CXD_0215_FDSW210423217-1r	CXD_1401_FDSW210423218-1r	CXD_1402_FDSW210423219-1r	CXD_1408_FDSW210423225-1r	CXD_1412_FDSW210423229-1r	CXD_1414_FDSW210423231-1r	CXD_1415_FDSW210423232-1r	CXD_1604_FDSW210423236-1r	CXD_1609_FDSW210423241-1r	CXD_1610_FDSW210423242-1r	CXD_1611_FDSW210423243-1r	CXD_1612_FDSW210423244-1r	CXD_1613_FDSW210423245-1r
SD_QD_2023_07_80_ultra_bin_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.901160491	0	0	0	0	0	0
SD_QD_2023_07_80_ultra_bin_3	0	1.134665012	0	0	0	0	0	0	0	0	0	0	0	0	0	1.011560788	0	0	0	0	0	0	0	0	0	0	0	0	0.963215568	1.680912115	0	0	0	0	0	0
GD_ZH_2021_05_15_bin_1	0	0	0	0	0	0	0	0	0	0	0	1.622470051	0	0	0	2.275201748	0	0	0	0	0	0	0	0	0	0	0	0	1.424600985	0	0	0	0	0.970916332	0	0
SD_QD_2020_06_15_bin_23	0	0	0	0	0	0	0	0	0	0	0	0.871053213	0	0	0	1.781728696	0	0	0	0	0	0	0	0	0	0	0	0	2.664216528	1.485384763	1.082768835	0	0	0	0	0
JS_LYG_2021_05_15_bin_5	0	1.017986923	0	0.764740637	0	0	0	0	0	0	0	0.973687605	0	0	0	1.074973226	1.033558045	0	0	0	0	0	0	0	0	0	0.975607954	0	1.068500954	0.905292702	0	0.799570759	0	0	0	0
SD_QD_2020_06_15_bin_6	0	0	0	0	0	0	0	0	0	0	0	1.55125494	0	0	0	0.928417857	1.342590626	0	0	0	0	0	0	0	0	0	0	2.142147181	2.016123637	1.635369288	0.888123783	0	0	0	0	0
SD_QD_2023_07_100_ultra_bin_1	0	1.50457901	0.986031229	0	0	0	0	0	0	0	0	0.923372028	0	0	1.527956378	1.607217725	0.962512152	0	0	0	0	0	0	0	1.076638737	0	1.972296853	0	1.596965201	0.854791273	0	1.20401479	0	0	0	0
SD_QD_2023_07_80_ultra_bin_14	0	1.206860376	1.105199343	1.423471075	0.987522021	0	1.1504092	0	0	0.974531927	1.096870494	0.898675081	1.568854427	0	0	0	1.348017525	1.26855308	0	0	0	0	0	0.948960729	0	0	0	0	0.828204773	0.822940775	0	0	0	0	0	0
SD_QD_2020_06_15_bin_11	0	0	0.845943631	0	0	0	0	0	0	0.945407223	0	3.126632539	0	0	3.871969083	6.113308509	2.128408905	0	0	0	0	0	0	0	0	0	0	0	0.876172575	0	0	0	0	0	0	0
SD_QD_2023_07_40_ultra_bin_16	0	0	0	0	0	0	0	0	0	0	0	1.097405478	0	0	0	1.63819575	1.34122625	1.065884455	0	0	0	0	0	0	0	0	0	1.217504615	2.706095011	2.769730367	1.150773937	1.116766724	1.167970933	1.240873558	0.921071786	1.554884476
